PB030,HB030,RB050,AGE,RB090,RB220,RB230,RB240,RL010,RL020,RL030,RL040,RL050,RL060,PB190,PB200,PE010,PE020,PE030,PE040,PH010,PH020,PH030,PH040,PH050,PH060,PH070,PL015,PL020,PL025,PL031,PL040,PL051,PL060,PL073,PL074,PL075,PL076,PL080,PL085,PL086,PL087,PL088,PL089,PL090,PL100,PL111,PL120,PL190,PL200,PL130,PL140,PL150,PY010G,PY010N,PY020G,PY021G,PY030G,PY035G,PY050G,PY050N,PY080G,PY090G,PY090N,PY100G,PY110G,PY120G,PY120N,PY130G,PY140G,AP,SL,M_K
4044350003,40443500,51.57573,76,1,\N,\N,4044350001,\N,\N,\N,\N,\N,\N,2,1,2,\N,1956,300,\N,2,3,2,\N,2,\N,1,\N,\N,7,3,83,\N,0,0,0,0,0,12,0,0,0,0,0,\N,\N,\N,18,46,\N,1,2,0,0,0,0,0,0,0,0,0,0,0,3966.26,0,0,0,0,0,3,3,1
4044370001,40443700,36.28316,61,2,\N,\N,4044370002,\N,\N,\N,\N,\N,\N,2,1,2,\N,1970,300,3,2,3,2,\N,2,\N,\N,\N,\N,1,3,52,40,12,0,0,0,0,0,0,0,0,0,0,\N,10,\N,19,37,11,1,2,4232.33,3600,0,0,1169.73,0,0,0,0,0,0,1589.51,0,0,0,0,0,3,3,1
4044370002,40443700,36.28316,55,1,\N,\N,4044370001,\N,\N,\N,\N,\N,\N,2,1,2,\N,1977,300,3,2,3,2,\N,1,1,\N,\N,\N,1,3,96,40,12,0,0,0,0,0,0,0,0,0,0,\N,94,\N,21,34,11,1,2,3224.02,3120,0,0,358.07,0,1370.48,1038.15,0,0,0,0,0,0,0,1635.8,0,3,3,1
4044380001,40443800,144.14623,55,2,\N,\N,\N,\N,\N,\N,\N,\N,\N,4,3,2,\N,1981,600,3,2,3,2,\N,2,\N,\N,\N,\N,1,3,13,40,12,0,0,0,0,0,0,0,0,0,0,\N,49,\N,18,31,13,1,1,17381.48,13151.93,0,0,5584.62,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1
4044380002,40443800,144.14623,3,2,4044380003,4044380004,\N,20,\N,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,3,3,1
4044380003,40443800,144.14623,31,1,\N,4044380001,4044380004,\N,\N,\N,\N,\N,\N,2,1,2,\N,2004,600,2,2,3,2,\N,2,\N,\N,\N,\N,1,3,83,40,12,0,0,0,0,0,0,0,0,0,0,\N,49,\N,18,11,13,1,2,12096.3,9232.85,0,0,3918.85,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1
4044380004,40443800,144.14623,33,2,\N,\N,4044380003,\N,\N,\N,\N,\N,\N,2,1,2,\N,2000,344,2,2,3,2,\N,2,\N,\N,\N,\N,1,3,42,40,12,0,0,0,0,0,0,0,0,0,0,\N,49,\N,18,10,13,1,2,5653.23,4451.95,0,0,1924.85,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1
4044400001,40444000,236.59718,49,2,\N,\N,4044400002,\N,\N,\N,\N,\N,\N,1,2,2,\N,1987,600,3,2,3,2,\N,2,\N,\N,\N,\N,1,3,43,40,12,0,0,0,0,0,0,0,0,0,0,\N,20,\N,21,16,13,1,2,12239.78,9281.12,0,0,3886.73,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1
4044400002,40444000,236.59718,49,1,\N,\N,4044400001,\N,\N,\N,\N,\N,\N,5,2,2,\N,1986,300,\N,2,3,2,\N,2,\N,\N,\N,\N,1,3,72,40,12,0,0,0,0,0,0,0,0,0,0,\N,85,\N,20,19,12,1,2,6258.45,4946.92,0,0,1987.36,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1
4044400003,40444000,236.59718,27,1,4044400002,4044400001,\N,\N,\N,\N,\N,\N,\N,1,3,2,\N,2011,600,\N,2,3,2,\N,2,\N,\N,\N,\N,1,3,83,40,12,0,0,0,0,0,0,0,0,0,0,\N,45,\N,21,5,4,1,2,5815.74,5208,0,0,1143.89,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1
4044410001,40444100,81.3336,81,2,\N,\N,\N,\N,\N,\N,\N,\N,\N,4,3,2,\N,1947,100,5,1,2,1,1,2,\N,1,\N,\N,7,3,75,\N,0,0,0,0,0,12,0,0,0,0,0,\N,\N,\N,19,35,\N,1,2,0,0,0,0,0,0,0,0,0,0,0,4300.68,381.03,0,0,0,0,3,3,1
4044450002,40444500,12.5387,80,1,\N,\N,4044450003,\N,\N,\N,\N,\N,\N,2,1,2,\N,1964,400,\N,1,2,2,\N,2,\N,1,\N,\N,7,3,96,\N,0,0,0,0,0,12,0,0,0,0,0,\N,\N,\N,23,52,\N,1,2,0,0,0,0,0,0,0,0,0,0,0,3891.19,0,0,0,0,0,3,3,1
4044450003,40444500,12.5387,77,2,\N,\N,4044450002,\N,\N,\N,\N,\N,\N,2,1,2,\N,1969,600,3,1,2,2,\N,2,\N,1,\N,\N,7,3,26,\N,0,0,0,0,0,12,0,0,0,0,0,\N,\N,\N,22,20,\N,1,2,0,0,0,0,0,0,0,0,0,0,0,2221.81,0,0,0,0,0,3,3,1
4044460001,40444600,52.26365,54,1,\N,\N,4044460002,\N,\N,\N,\N,\N,\N,2,1,2,\N,1979,300,\N,2,3,2,\N,2,\N,\N,\N,\N,1,3,81,40,12,0,0,0,0,0,0,0,0,0,0,\N,12,\N,22,27,13,1,2,14512.41,11111.94,0,0,4212.22,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1
4044460002,40444600,52.26365,53,2,\N,\N,4044460001,\N,\N,\N,\N,\N,\N,2,1,2,\N,2002,600,4,1,2,1,1,2,\N,1,2,\N,8,3,42,\N,0,0,0,0,0,0,12,0,0,0,0,\N,\N,\N,20,26,\N,1,2,1919.58,1565.22,0,0,594.69,0,0,0,0,0,0,0,0,0,0,2432.86,0,3,3,1
4044500001,40445000,68.00682,56,1,\N,\N,4044500002,\N,\N,\N,\N,\N,\N,2,1,2,\N,1985,600,\N,1,1,1,1,2,\N,\N,\N,\N,2,3,21,20,0,12,0,0,0,0,0,0,0,0,0,\N,33,2,17,39,7,1,2,1752.93,1595.16,0,0,543.05,0,0,0,0,0,0,0,0,0,0,1911.59,0,3,3,1
4044500002,40445000,68.00682,48,2,\N,4044500004,4044500001,\N,\N,\N,\N,\N,\N,2,1,2,\N,1985,300,4,1,1,1,1,2,\N,1,2,\N,8,3,24,\N,0,0,0,0,0,0,12,0,0,0,0,\N,\N,\N,17,11,\N,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1663.94,0,3,3,1
4044500003,40445000,68.00682,23,1,4044500001,4044500002,\N,\N,\N,\N,\N,\N,\N,1,3,1,60,2011,344,\N,2,2,2,\N,2,\N,2,1,1,6,\N,\N,\N,0,0,0,0,0,0,0,12,0,0,0,\N,\N,\N,\N,\N,\N,\N,\N,742.01,563.69,0,0,230.97,0,0,0,0,0,0,0,0,0,0,938.37,450,3,3,1
4044500004,40445000,68.00682,80,2,\N,\N,\N,\N,\N,\N,\N,\N,\N,4,3,2,\N,1950,200,\N,1,1,1,1,2,\N,1,\N,\N,7,3,24,\N,0,0,0,0,0,12,0,0,0,0,0,\N,\N,\N,17,40,\N,1,2,0,0,0,0,0,0,0,0,0,0,0,5442.99,0,0,0,0,0,3,3,1
4044510001,40445100,46.41181,77,2,\N,\N,4044510002,\N,\N,\N,\N,\N,\N,2,1,2,\N,1952,200,5,1,1,1,2,2,\N,1,\N,\N,7,3,91,\N,0,0,0,0,0,12,0,0,0,0,0,\N,\N,\N,16,37,\N,1,2,0,0,0,0,0,0,0,0,0,0,0,2388.73,0,0,0,0,0,3,3,1
4044510002,40445100,46.41181,79,1,\N,\N,4044510001,\N,\N,\N,\N,\N,\N,2,1,2,\N,1953,300,\N,1,1,1,2,2,\N,1,\N,\N,7,3,81,\N,0,0,0,0,0,12,0,0,0,0,0,\N,\N,\N,19,34,\N,1,2,0,0,0,0,0,0,0,0,0,0,0,3043.28,0,0,0,0,0,3,3,1
4044540001,40445400,357.2961,32,1,\N,\N,4044540002,\N,\N,\N,\N,\N,\N,2,1,2,\N,2007,700,\N,2,3,2,\N,2,\N,\N,\N,\N,1,3,24,40,12,0,0,0,0,0,0,0,0,0,0,\N,33,\N,18,13,11,1,1,53653.9,40777.09,6251.82,6251.82,16621.97,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1
4044540002,40445400,357.2961,31,2,\N,\N,4044540001,\N,\N,\N,\N,\N,\N,2,1,2,\N,2008,600,2,2,3,2,\N,2,\N,\N,\N,\N,1,3,24,40,12,0,0,0,0,0,0,0,0,0,0,\N,33,\N,24,6,11,1,2,4281.91,3254.26,0,0,1326.54,0,10700,8577.06,0,0,0,0,0,0,0,0,0,3,3,1
4044540003,40445400,357.2961,3,1,4044540001,4044540002,\N,40,\N,0,0,0,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,3,3,1
4044540004,40445400,357.2961,0,2,4044540001,4044540002,\N,\N,\N,\N,0,0,0,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,3,3,1
4044570001,40445700,85.26496,48,1,\N,\N,4044570002,\N,\N,\N,\N,\N,\N,2,1,2,\N,1985,400,3,2,2,2,\N,2,\N,\N,\N,\N,1,3,72,40,12,0,0,0,0,0,0,0,0,0,0,\N,33,\N,22,26,13,1,2,4560.41,4000,0,0,933.14,0,0,0,0,0,0,0,0,545.92,431.28,0,0,3,3,1
4044570002,40445700,85.26496,55,2,\N,\N,4044570001,\N,\N,\N,\N,\N,\N,2,1,2,\N,1980,400,4,1,2,2,\N,2,\N,1,2,\N,8,3,75,\N,0,0,0,0,0,0,12,0,0,0,0,\N,\N,\N,20,27,\N,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3249.99,0,3,3,1
